image,category
1_1,train
1_2,train
1_3,train
1_4,train
1_5,train
1_6,train
1_7,train
1_8,train
1_9,train
1_10,train
1_11,train
1_12,train
1_13,train
1_14,train
1_15,train
1_16,train
1_17,train
1_18,train
1_19,train
1_20,train
2_1,train
2_2,train
2_3,train
2_4,train
2_5,train
2_6,train
2_7,train
2_8,train
2_9,train
2_10,train
2_11,train
2_12,train
2_13,train
2_14,train
2_15,train
2_16,train
2_17,train
2_18,train
2_19,train
2_20,train
3_1,train
3_2,train
3_3,train
3_4,train
3_5,train
3_6,train
3_7,train
3_8,train
3_9,train
3_10,train
3_11,train
3_12,train
3_13,train
3_14,train
3_15,train
3_16,train
3_17,train
3_18,train
3_19,train
3_20,train
4_1,train
4_2,train
4_3,train
4_4,train
4_5,train
4_6,train
4_7,train
4_8,train
4_9,train
4_10,train
4_11,train
4_12,train
4_13,train
4_14,train
4_15,train
4_16,train
4_17,train
4_18,train
4_19,train
4_20,train
5_1,train
5_2,train
5_3,train
5_4,train
5_5,train
5_6,train
5_7,train
5_8,train
5_9,train
5_10,train
5_11,train
5_12,train
5_13,train
5_14,train
5_15,train
5_16,train
5_17,train
5_18,train
5_19,train
5_20,train
6_1,train
6_2,train
6_3,train
6_4,train
6_5,train
6_6,train
6_7,train
6_8,train
6_9,train
6_10,train
6_11,train
6_12,train
6_13,train
6_14,train
6_15,train
6_16,train
6_17,train
6_18,train
6_19,train
6_20,train
7_1,train
7_2,train
7_3,train
7_4,train
7_5,train
7_6,train
7_7,train
7_8,train
7_9,train
7_10,train
7_11,train
7_12,train
7_13,train
7_14,train
7_15,train
7_16,train
7_17,train
7_18,train
7_19,train
7_20,train
8_1,train
8_2,train
8_3,train
8_4,train
8_5,train
8_6,train
8_7,train
8_8,train
8_9,train
8_10,train
8_11,train
8_12,train
8_13,train
8_14,train
8_15,train
8_16,train
8_17,train
8_18,train
8_19,train
8_20,train
9_1,train
9_2,train
9_3,train
9_4,train
9_5,train
9_6,train
9_7,train
9_8,train
9_9,train
9_10,train
9_11,train
9_12,train
9_13,train
9_14,train
9_15,train
9_16,train
9_17,train
9_18,train
9_19,train
9_20,train
10_1,train
10_2,train
10_3,train
10_4,train
10_5,train
10_6,train
10_7,train
10_8,train
10_9,train
10_10,train
10_11,train
10_12,train
10_13,train
10_14,train
10_15,train
10_16,train
10_17,train
10_18,train
10_19,train
10_20,train
11_1,train
11_2,train
11_3,train
11_4,train
11_5,train
11_6,train
11_7,train
11_8,train
11_9,train
11_10,train
11_11,train
11_12,train
11_13,train
11_14,train
11_15,train
11_16,train
11_17,train
11_18,train
11_19,train
11_20,train
12_1,train
12_2,train
12_3,train
12_4,train
12_5,train
12_6,train
12_7,train
12_8,train
12_9,train
12_10,train
12_11,train
12_12,train
12_13,train
12_14,train
12_15,train
12_16,train
12_17,train
12_18,train
12_19,train
12_20,train
13_1,val
13_2,val
13_3,val
13_4,val
13_5,val
13_6,val
13_7,val
13_8,val
13_9,val
13_10,val
13_11,val
13_12,val
13_13,val
13_14,val
13_15,val
13_16,val
13_17,val
13_18,val
13_19,val
13_20,val
14_1,val
14_2,val
14_3,val
14_4,val
14_5,val
14_6,val
14_7,val
14_8,val
14_9,val
14_10,val
14_11,val
14_12,val
14_13,val
14_14,val
14_15,val
14_16,val
14_17,val
14_18,val
14_19,val
14_20,val
15_1,val
15_2,val
15_3,val
15_4,val
15_5,val
15_6,val
15_7,val
15_8,val
15_9,val
15_10,val
15_11,val
15_12,val
15_13,val
15_14,val
15_15,val
15_16,val
15_17,val
15_18,val
15_19,val
15_20,val
16_1,val
16_2,val
16_3,val
16_4,val
16_5,val
16_6,val
16_7,val
16_8,val
16_9,val
16_10,val
16_11,val
16_12,val
16_13,val
16_14,val
16_15,val
16_16,val
16_17,val
16_18,val
16_19,val
16_20,val
17_1,test
17_2,test
17_3,test
17_4,test
17_5,test
17_6,test
17_7,test
17_8,test
17_9,test
17_10,test
17_11,test
17_12,test
17_13,test
17_14,test
17_15,test
17_16,test
17_17,test
17_18,test
17_19,test
17_20,test
18_1,test
18_2,test
18_3,test
18_4,test
18_5,test
18_6,test
18_7,test
18_8,test
18_9,test
18_10,test
18_11,test
18_12,test
18_13,test
18_14,test
18_15,test
18_16,test
18_17,test
18_18,test
18_19,test
18_20,test
19_1,test
19_2,test
19_3,test
19_4,test
19_5,test
19_6,test
19_7,test
19_8,test
19_9,test
19_10,test
19_11,test
19_12,test
19_13,test
19_14,test
19_15,test
19_16,test
19_17,test
19_18,test
19_19,test
19_20,test
20_1,test
20_2,test
20_3,test
20_4,test
20_5,test
20_6,test
20_7,test
20_8,test
20_9,test
20_10,test
20_11,test
20_12,test
20_13,test
20_14,test
20_15,test
20_16,test
20_17,test
20_18,test
20_19,test
20_20,test
