image,category
000_21,train
000_22,train
000_33,train
000_34,train
000_35,train
000_36,train
000_46,train
000_47,train
000_48,train
000_49,train
000_58,train
000_59,train
000_60,train
000_61,train
000_62,train
000_63,train
000_71,train
000_72,train
000_73,train
000_74,train
000_75,train
000_76,train
000_83,train
000_84,train
000_85,train
000_86,train
000_87,train
000_95,train
000_96,train
000_97,train
000_98,train
000_99,train
000_108,train
000_109,train
000_110,train
000_111,train
000_120,train
000_121,train
000_122,train
000_123,train
000_132,train
000_133,train
000_134,train
000_135,train
000_136,train
000_144,train
000_145,train
000_146,train
000_147,train
000_148,train
000_157,train
000_158,train
000_159,train
000_160,train
000_161,train
000_170,train
000_171,train
000_172,train
000_173,train
000_184,train
000_185,train
001_17,val
001_18,val
001_19,val
001_28,val
001_29,val
001_30,val
001_38,val
001_39,val
001_40,val
001_41,val
001_42,val
001_49,val
001_50,val
001_51,val
001_52,val
001_59,val
001_60,val
001_61,val
001_62,val
001_69,val
001_70,val
001_71,val
001_72,val
001_73,val
001_80,val
001_81,val
001_82,val
001_83,val
001_91,val
001_92,val
001_93,val
001_101,val
001_102,val
001_103,val
001_104,val
001_112,val
001_113,val
001_114,val
001_122,val
001_123,val
001_124,val
001_133,val
001_134,val
001_135,val
001_144,val
001_145,val
001_155,val
002_23,train
002_36,train
002_37,train
002_38,train
002_49,train
002_50,train
002_51,train
002_52,train
002_53,train
002_61,train
002_62,train
002_63,train
002_64,train
002_65,train
002_66,train
002_67,train
002_75,train
002_76,train
002_77,train
002_78,train
002_79,train
002_80,train
002_81,train
002_82,train
002_88,train
002_89,train
002_90,train
002_91,train
002_92,train
002_93,train
002_94,train
002_95,train
002_101,train
002_102,train
002_103,train
002_104,train
002_105,train
002_106,train
002_107,train
002_108,train
002_109,train
002_114,train
002_115,train
002_116,train
002_117,train
002_118,train
002_119,train
002_120,train
002_121,train
002_122,train
002_128,train
002_129,train
002_130,train
002_131,train
002_132,train
002_133,train
002_134,train
002_135,train
002_141,train
002_142,train
002_143,train
002_144,train
002_145,train
002_146,train
002_147,train
002_148,train
002_149,train
002_155,train
002_156,train
002_157,train
002_158,train
002_159,train
002_160,train
002_161,train
002_162,train
002_169,train
002_170,train
002_171,train
002_172,train
002_173,train
002_174,train
002_175,train
002_183,train
002_184,train
002_185,train
002_186,train
002_187,train
002_188,train
002_189,train
002_198,train
002_199,train
002_200,train
002_201,train
002_202,train
002_213,train
002_214,train
002_215,train
002_227,train
002_228,train
003_20,test
003_21,test
003_31,test
003_32,test
003_33,test
003_42,test
003_43,test
003_44,test
003_45,test
003_46,test
003_53,test
003_54,test
003_55,test
003_56,test
003_57,test
003_65,test
003_66,test
003_67,test
003_68,test
003_77,test
003_78,test
003_79,test
003_88,test
003_89,test
003_90,test
003_91,test
003_100,test
003_101,test
003_102,test
003_111,test
003_112,test
003_113,test
003_122,test
003_123,test
003_124,test
003_125,test
003_134,test
003_135,test
003_136,test
003_145,test
003_146,test
003_147,test
003_157,test
003_158,test
003_159,test
003_169,test
003_170,test
004_24,train
004_25,train
004_31,train
004_32,train
004_33,train
004_34,train
004_39,train
004_40,train
004_41,train
004_42,train
004_43,train
004_47,train
004_48,train
004_49,train
004_50,train
004_51,train
004_52,train
004_55,train
004_56,train
004_57,train
004_58,train
004_59,train
004_60,train
004_61,train
004_64,train
004_65,train
004_66,train
004_67,train
004_68,train
004_69,train
004_73,train
004_74,train
004_75,train
004_76,train
004_77,train
004_83,train
004_84,train
004_85,train
004_92,train
004_93,train
004_94,train
