image,category
2023-06-15_0472,train
2023-06-15_0763,train
2023-06-15_0157,train
2023-06-15_1056,train
2023-06-15_0454,train
2023-06-15_0728,train
2023-06-15_0996,train
2023-06-06_0197,train
2023-06-06_0473,train
2023-06-06_0760,train
2023-06-06_0188,train
2023-06-06_1048,train
2023-06-06_0455,train
2023-06-06_0728,train
2023-06-06_0989,train
2023-06-06_0267,train
2023-06-06_0353,train
2023-06-06_0764,train
2023-06-06_0156,train
2023-06-06_1052,train
2023-06-06_0451,train
2023-06-06_0725,train
2023-06-06_0922,train
2023-06-06_0200,train
2023-06-06_0405,train
2023-06-06_0680,train
2023-06-06_0225,train
2023-06-06_0945,train
2023-06-06_0368,train
2023-06-06_0658,train
2023-06-06_0917,train
2023-06-06_0264,train
2023-06-06_0484,train
2023-06-06_0625,train
2023-06-06_0258,train
2023-06-06_0942,train
2023-06-06_0372,train
2023-06-06_0656,train
2023-06-06_1062,train
2023-05-30_0078,train
2023-05-30_0432,train
2023-05-30_0760,train
2023-05-30_0086,train
2023-05-30_1025,train
2023-05-30_0450,train
2023-05-30_0727,train
2023-05-30_0945,train
2023-05-30_0147,train
2023-05-30_0340,train
2023-05-30_0756,train
2023-05-30_0049,train
2023-05-30_1021,train
2023-05-30_0454,train
2023-05-30_0730,train
2023-05-30_0875,train
2023-05-30_0075,train
2023-05-30_0360,train
2023-05-30_0639,train
2023-05-30_0120,train
2023-05-30_0923,train
2023-05-30_0325,train
2023-05-30_0661,train
2023-05-30_0880,train
2023-05-30_0150,train
2023-05-30_0487,train
2023-05-30_0621,train
2023-05-30_0155,train
2023-05-30_0927,train
2023-05-30_0321,train
2023-05-30_0663,train
2023-05-30_1011,train
2023-05-25_0150,train
2023-05-25_0486,train
2023-05-25_0776,train
2023-05-25_0158,train
2023-05-25_1060,train
2023-05-25_0468,train
2023-05-25_0743,train
2023-05-25_1002,train
2023-05-25_0219,train
2023-05-25_0363,train
2023-05-25_0780,train
2023-05-25_0119,train
2023-05-25_1064,train
2023-05-25_0463,train
2023-05-25_0740,train
2023-05-25_0937,train
2023-05-25_0147,train
2023-05-25_0416,train
2023-05-25_0695,train
2023-05-25_0189,train
2023-05-25_0958,train
2023-05-25_0379,train
2023-05-25_0672,train
2023-05-25_0932,train
2023-05-25_0222,train
2023-05-25_0500,train
2023-05-25_0640,train
2023-05-25_0228,train
2023-05-25_0955,train
2023-05-25_0383,train
2023-05-25_0670,train
2023-05-25_1074,train
2023-06-15_0149,train
2023-06-15_0956,val
2023-06-06_0953,val
2023-05-30_0915,val
2023-05-25_0966,val
2023-06-06_1043,val
2023-05-30_1030,val
2023-05-25_1055,val
2023-06-06_1039,val
2023-05-30_1034,val
2023-05-25_1051,val
2023-05-30_0912,val
2023-05-25_0969,val
2023-06-15_0462,val
2023-06-06_0463,val
2023-05-30_0442,val
2023-05-25_0476,val
2023-06-06_0391,val
2023-05-30_0374,val
2023-05-25_0402,val
2023-06-06_0395,val
2023-05-30_0370,val
2023-05-25_0406,val
2023-06-06_0460,val
2023-05-30_0445,val
2023-05-25_0473,val
2023-06-06_0956,val
2023-06-15_0735,test
2023-06-06_0736,test
2023-05-30_0720,test
2023-05-25_0750,test
2023-06-06_0770,test
2023-05-30_0750,test
2023-05-25_0786,test
2023-06-06_0670,test
2023-05-30_0649,test
2023-05-25_0685,test
2023-06-06_0667,test
2023-05-30_0652,test
2023-05-25_0681,test
2023-06-15_0169,test
2023-06-06_0176,test
2023-05-30_0099,test
2023-05-25_0170,test
2023-06-06_0161,test
2023-05-30_0044,test
2023-05-25_0114,test
2023-06-06_0231,test
2023-05-30_0114,test
2023-05-25_0183,test
2023-06-06_0166,test
2023-05-30_0039,test
2023-05-25_0109,test
